"AccBinomial","meanHeight","minHeight","maxHeight","meanLeaf.length","minLeaf.length","maxLeaf.length","meanLeaf.width","minLeaf.width","maxLeaf.width","meanCorolla.radius","minCorolla.radius","maxCorolla.radius","meanCorolla.tube.length","minCorolla.tube.length","maxCorolla.tube.length","meanCorolla.lobe.length","minCorolla.lobe.length","maxCorolla.lobe.length","meanStyle.length","minStyle.length","maxStyle.length","meanFruit.size","minFruit.size","maxFruit.size","Self..in.compatibility","Ploidy","HapN","Life.history","Habit","Stem.composition","Leaf.type","Corolla.color","Fruit.type","Fruit.color"
"Brunfelsia grandiflora subsp. schultesii",3.5,1,6,130,60,200,50,20,80,15,10,20,22.5,15,30,11,7,15,"NA","NA","NA",13,10,16,,"Diploid",11,,"Shrub, Tree","Woody","Simple","white, blue, purple","Capsule",
"Brunfelsia guianensis",2,1,3,105,60,150,42.5,20,65,9.25,7.5,11,23,20,26,7,6,8,"NA","NA","NA",28.5,25,32,,,,,"Shrub, Tree","Woody","Simple","white, green",,"Yellow"
"Brunfelsia hydrangeiformis",1.5,1,2,225,130,320,90,30,150,12.5,9,16,27.5,20,35,9.5,7,12,"NA","NA","NA",16,12,20,,,,,"Shrub","Woody","Simple","white, light purple, purple",,"Green, Brown"
"Brunfelsia imatacana",4,3,5,107.5,65,150,42.5,20,65,"NA","NA","NA",34,30,38,18,13,23,22.5,22,23,14.5,12,17,,,,,"Shrub, Tree","Woody","Simple","white, light blue, light purple","Capsule","Green"
"Brunfelsia lactea","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",11,"Perennial",,"Woody",,,,
"Brunfelsia latifolia",0.6,0.2,1,65,40,90,23.5,22,25,12.5,10,15,17.5,15,20,6.5,5,8,"NA","NA","NA",10.5,8,13,"SI","Diploid",11,,"Shrub","Woody","Simple","white, light blue, light purple","Capsule","Green"
"Brunfelsia macrocarpa",4.5,2,7,195,140,250,90,65,115,26.25,25,27.5,42.5,40,45,20,18,22,37,36,38,45,40,50,,,,,"Shrub, Tree","Woody","Simple","white, blue, purple",,"Yellow"
"Brunfelsia martiana",1,1,1,175,100,250,60,40,80,9.25,7.5,11,22,20,24,7.5,5,10,15,15,15,"NA","NA","NA",,,,,"Shrub","Woody","Simple","white, green",,
"Brunfelsia mire",0.6,0.2,1,200,120,280,60,40,80,18.75,12.5,25,22,19,25,15,15,15,"NA","NA","NA",16,12,20,,,,,"Shrub","Woody","Simple","white, blue, purple",,
"Brunfelsia nitida","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",11,"Perennial",,"Woody",,,,
"Brunfelsia obovata",1,1,1,55,20,90,22.5,10,35,17.5,12.5,22.5,25,20,30,12.5,9,16,20.5,18,23,10,8,12,,,,,"Shrub","Woody","Simple","white, blue, light purple","Capsule","Green, Brown"
"Brunfelsia obovata var. coriacea",1,1,1,50,25,75,21.5,10,33,17.5,12.5,22.5,25,20,30,12.5,9,16,20.5,18,23,10,8,12,,,,,"Shrub","Woody","Simple","white, blue, light purple","Capsule","Green, Brown"
"Brunfelsia obovata var. obovata",1,1,1,65,40,90,26.5,18,35,17.5,12.5,22.5,22.5,20,25,12.5,9,16,20.5,18,23,10,8,12,,,,,"Shrub","Woody","Simple","white, blue, light purple","Capsule","Green, Brown"
"Brunfelsia pauciflora",2,1,3,112.5,65,160,42.5,20,65,"NA","NA","NA",32,28,36,22.5,15,30,27.5,25,30,21,20,22,"SI","Diploid",11,,"Shrub","Woody","Simple","white, red, light purple, purple","Capsule","Green"
"Brunfelsia pilosa",1.25,0.5,2,52.5,30,75,21.5,13,30,19.25,15,23.5,28.5,25,32,12.5,10,15,24,22,26,11,10,12,,,,,"Shrub","Woody","Simple","white, blue, purple",,"Green"
"Brunfelsia plowmaniana",2.5,1,4,65,40,90,25.5,13,38,11.25,10,12.5,20,15,25,"NA","NA","NA",15,15,15,13.5,12,15,,,,,"Shrub, Tree",,"Simple","yellow, green, blue, light purple, purple","Capsule",
"Brunfelsia rupestris",1.5,1,2,25,10,40,11.5,6,17,9.25,7.5,11,"NA","NA","NA",7.5,5,10,"NA","NA","NA",15,14,16,,,,,"Shrub","Woody","Simple","white, blue, light purple, purple","Capsule",
"Brunfelsia undulata","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",11,"Perennial",,"Woody",,,,
"Brunfelsia uniflora",1.75,0.5,3,52.5,25,80,25,10,40,11.25,7.5,15,19,13,25,"NA","NA","NA",19,15,23,7.5,7,8,,,,,"Shrub","Woody","Simple","white, blue, purple","Capsule","Green"
"Calibrachoa caesia","NA","NA","NA",15,10,20,3.5,2,5,"NA","NA","NA",18,16,20,"NA","NA","NA","NA","NA","NA",3.75,3.5,4,"SI","Diploid",9,"Perennial",,"Woody base, Herbaceous","Simple","red, blue, purple","Capsule",
"Calibrachoa calycina",0.125,0.1,0.15,15,5,25,6.25,3,12,8.25,6,10,14.25,10,17,"NA","NA","NA","NA","NA","NA",4.125,3,5,"SI","Diploid",9,"Perennial","Subshrub","Herbaceous, Woody base","Simple",,"Capsule",
"Calibrachoa cordifolia",0.4,0.4,0.4,11,5,17,5,2,8,7.5,7.5,7.5,9.75,8.5,11,5.5,5,6,5,5,5,7,7,7,,,,,"Shrub",,"Simple","red, yellow, purple","Capsule",
"Calibrachoa dusenii",0.25,0.2,0.3,8.5,7,10,2.5,2,3,8.5,8.5,8.5,14.5,14,15,"NA","NA","NA","NA","NA","NA",5.5,5.5,5.5,"SI","Diploid",9,"Perennial","Herb","Herbaceous","Simple","blue, purple","Capsule",
"Calibrachoa eglandulata","NA","NA","NA",19,13,25,8,5,11,12.5,11.5,13.5,19,18,20,"NA","NA","NA",13.75,11.5,16,7,6,8,"SI","Diploid",9,"Perennial","Shrub","Herbaceous","Simple","yellow, purple","Capsule",
"Calibrachoa elegans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",9,"Perennial",,"Herbaceous",,,,
"Calibrachoa ericifolia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",9,"Perennial",,"Herbaceous",,,,
"Calibrachoa excellens",0.475,0.1,0.8,21.6666666667,10,30,9,3,18,11.6666666667,10,15,19.8333333333,15,25,"NA","NA","NA","NA","NA","NA",6,5,7,"SI","Diploid",9,"Perennial","Shrub","Woody base, Herbaceous","Simple","blue, purple","Capsule",
"Calibrachoa heterophylla",0.2,0.1,0.3,7.5,5,10,1.25,0.5,2,11.825,10,13.15,17.5,15,20,"NA","NA","NA","NA","NA","NA",4.5,4,5,"SI","Diploid",9,"Perennial","Herb","Herbaceous, Woody base","Simple","purple, red","Capsule",
"Calibrachoa linearis","NA","NA","NA",12.5,10,15,2,1.5,2.5,5,5,5,14,13,15,"NA","NA","NA","NA","NA","NA",4.5,4,5,"SI","Diploid",9,"Perennial","Herb","Herbaceous, Woody base","Simple",,"Capsule",
"Calibrachoa linoides","NA","NA","NA",15,12,18,4,3,5,"NA","NA","NA",17,17,17,"NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",9,"Perennial","Herb, Shrub","Herbaceous, Woody base","Simple","blue, purple","Capsule",
"Calibrachoa macrodactylon","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",9,"Perennial",,"Herbaceous",,,,
"Calibrachoa micrantha","NA","NA","NA",9.5,7,12,2.75,2,3.5,5,5,5,7,7,7,"NA","NA","NA","NA","NA","NA",3.5,3,4,"SI","Diploid",9,"Perennial","Herb","Herbaceous, Woody base","Simple","blue, purple","Capsule",
"Calibrachoa missionica",0.4,0.4,0.4,15.5,9,22,4.75,2.5,7,8.5,7,10,9.5,8,11,"NA","NA","NA",5.65,5.3,6,6.35,5,7.7,,,,,"Shrub",,"Simple","red, purple","Capsule",
"Calibrachoa paranensis","NA","NA","NA",20,10,30,1.375,0.5,3,8.125,4,11.5,18,15,22,"NA","NA","NA","NA","NA","NA",4.75,4,6,,,,,"Shrub",,"Simple","pink, blue, purple","Capsule",
"Calibrachoa parviflora",0.3325,0.03,0.5,11,5,20,2.75,1,5,3.1333333333,2.5,4,7.5,6,9,"NA","NA","NA",2.75,2,3.5,3.5,2,5.5,"SC","Diploid",9,"Annual, Perennial","Herb","Herbaceous","Simple","purple, red, white, pink, light purple, yellow, blue","Capsule",
"Calibrachoa pubescens",0.1375,0.1,0.2,8.25,3,15,1.625,1,3,7.5,4,10,17,10,20,5.5,5,6,"NA","NA","NA",5,4,6,"SI","Diploid",9,"Perennial","Herb","Herbaceous, Woody base","Simple",,"Capsule",
"Calibrachoa pygmea","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",9,"Annual",,"Herbaceous",,,,
"Calibrachoa regnellii",0.65,0.6,0.7,25,15,35,10,5,15,4.25,3.5,5,12,10,14,"NA","NA","NA","NA","NA","NA",4.5,4,5,,,,,"Shrub",,"Simple","blue, purple","Capsule",
"Calibrachoa rupestris","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",9,"Perennial",,"Herbaceous",,,,
"Calibrachoa sellowiana","NA","NA","NA",15,10,20,1.5,1,2,7.5,7.5,7.5,13.5,12,15,"NA","NA","NA","NA","NA","NA",5.5,5,6,"SI","Diploid",9,"Perennial",,"Herbaceous, Woody base","Simple",,"Capsule",
"Calibrachoa sendtneriana","NA","NA","NA",32.5,25,40,8.5,7,10,"NA","NA","NA",17,17,17,"NA","NA","NA","NA","NA","NA",6.5,6,7,"SI","Diploid",9,"Perennial",,"Herbaceous, Woody base","Simple",,"Capsule",
"Calibrachoa serrulata","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",9,"Perennial",,"Herbaceous",,,,
"Calibrachoa sp.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial",,"Herbaceous",,,,
"Calibrachoa sp.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial",,"Herbaceous",,,,
"Calibrachoa sp.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial",,"Herbaceous",,,,
"Calibrachoa sp.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial",,"Herbaceous",,,,
"Calibrachoa sp.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial",,"Herbaceous",,,,
"Calibrachoa sp.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial",,"Herbaceous",,,,
"Calibrachoa sp.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial",,"Herbaceous",,,,
"Calibrachoa sp.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial",,"Herbaceous",,,,
"Calibrachoa sp.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial",,"Herbaceous",,,,
"Calibrachoa spathulata","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",9,"Perennial",,"Herbaceous",,,,
"Calibrachoa thymifolia","NA","NA","NA",7.5,5,10,0.75,0.5,1,7.5,7.5,7.5,16,15,17,"NA","NA","NA","NA","NA","NA",5.75,5.5,6,"SI","Diploid",9,"Perennial",,"Herbaceous, Woody base","Simple",,"Capsule",
"Calliphysalis carpenteri",1.125,0.75,1.5,85,70,100,45,30,60,8.75,5,12.5,"NA","NA","NA","NA","NA","NA",9,8,10,"NA","NA","NA","SC",,12,"Perennial","Herb","Herbaceous","Simple","yellow","Berry","Yellow"
"Capsicum annuum","NA","NA","NA","NA","NA","NA",90,90,90,"NA","NA","NA","NA","NA","NA","NA","NA","NA",3.5,3.5,3.5,129,8,250,"SC","Diploid",12,"Perennial",,"Woody",,"white",,
"Capsicum annuum var. annuum",2,2,2,92.5,60,110,37.5,25,50,6.125,3,8.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",77.25,4.5,150,,,,"Annual","Herb, Shrub","Herbaceous, Woody base","Simple","green, blue, white","Berry","White, Red, Orange, Yellow, Green"
"Capsicum annuum var. glabratum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Diploid",12,"Annual","Herb",,,,,
"Capsicum annuum var. glabriusculum",1.25,0.5,2,50,20,80,20,10,30,4.5,4.5,4.5,"NA","NA","NA",3,3,3,2.5,2.5,2.5,9,8,10,,"Diploid",12,"Perennial","Herb, Shrub","Woody",,"white","Berry","Red, Orange"
"Capsicum annuum var. minimum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10,10,10,,,,,,,,,,
"Capsicum baccatum",1.6,0.5,3.5,80,80,80,63,63,63,"NA","NA","NA",13.5,12,15,"NA","NA","NA",3.35,3.35,3.35,8.5,7,10,"SC","Diploid",12,"Annual, Perennial","Herb, Shrub","Woody",,"white, green, purple, yellow, blue","Berry","Red"
"Capsicum baccatum var. baccatum","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.65,2.3,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA",8.5,4,13,,,,,,,,,,
"Capsicum baccatum var. pendulum","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.8,4.2,5.4,"NA","NA","NA","NA","NA","NA","NA","NA","NA",110,48,172,"SC",,,,,,,"white",,
"Capsicum buforum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",12,"Perennial",,"Woody",,,,
"Capsicum caatingae",2.75,2,3.5,39.5,30,49,16.5,13,20,"NA","NA","NA","NA","NA","NA",3.2,2.9,3.5,4.7,4.6,4.8,9,7,11,,"Diploid",12,,"Shrub, Tree",,"Simple","white, green, purple","Berry","Yellow"
"Capsicum caballeroi",4,1,7,75,20,130,25,8,42,2.5,2,3,11.75,10.5,13,3,3,3,6,6,6,10,9,11,,,,,"Herb, Shrub, Tree",,"Simple","yellow","Berry","Red"
"Capsicum campylopodium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Polyploid",13,"Perennial",,"Woody",,,,
"Capsicum cardenasii",1,1,1,50,50,50,25,25,25,"NA","NA","NA",7.5,7.5,7.5,2,2,2,"NA","NA","NA",5,4,6,"SI, SC","Diploid",12,"Perennial","Shrub","Woody",,"purple, blue","Berry","Red"
"Capsicum ceratocalyx",1.5,1.5,1.5,122.5,20,225,35.5,6,65,2.5,2.5,2.5,6,6,6,3.5,3.5,3.5,"NA","NA","NA",10,10,10,,,,,"Shrub",,"Simple","yellow, green","Berry","Red"
"Capsicum chacoense","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Diploid",12,"Perennial",,"Woody",,,,
"Capsicum chinense","NA","NA","NA","NA","NA","NA",105,105,105,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",65,10,120,"SC","Diploid",12,"Perennial",,"Woody",,,,
"Capsicum ciliatum",1.75,0.5,3,75,30,120,20,10,30,3,2.5,3.5,"NA","NA","NA","NA","NA","NA",4.25,4,4.5,7,6,8,"SC","Diploid",12,,"Shrub",,,"yellow","Berry","Red"
"Capsicum coccineum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,"Perennial",,"Woody",,,,
"Capsicum cornutum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Polyploid",13,"Perennial",,"Woody",,,,
"Capsicum dimorphum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,"Perennial",,"Woody",,,,
"Capsicum dusenii","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Diploid",12,"Perennial",,"Woody",,,,
"Capsicum eximium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI, SC","Diploid",12,"Perennial",,"Woody, Woody base",,,,
"Capsicum flexuosum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Diploid",12,"Perennial",,"Woody",,,,
"Capsicum friburgense",1.65,0.8,2.5,107.5,85,130,35,25,45,4.5,3.75,5.25,10.5,9,12,2.5,2,3,9.5,8,11,5.5,5,6,,"Polyploid",13,"Perennial","Shrub","Woody",,"pink, light purple","Berry","Yellow, Green"
"Capsicum frutescens","NA","NA","NA","NA","NA","NA",70,50,90,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",45,10,80,"SC","Diploid",12,"Perennial",,"Woody",,"green, purple",,
"Capsicum galapagoensis","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Diploid",12,"Perennial",,"Woody",,,,
"Capsicum geminifolium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,"Perennial",,"Woody",,,,
"Capsicum hookerianum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,"Perennial",,"Woody",,,,
"Capsicum hunzikerianum",2,1,3,147.5,95,200,47.5,25,70,7,5,9,12,10,14,7,6,8,5.5,5,6,7.5,6,9,,,,,"Shrub",,,"white, yellow, green, blue, purple","Berry","Yellow, Green"
"Capsicum lanceolatum",3,1,5,85,60,110,22.5,15,30,"NA","NA","NA","NA","NA","NA","NA","NA","NA",5,4.5,5.5,8.5,7,10,"SC","Polyploid",13,"Perennial","Shrub","Woody",,"white, yellow, purple","Berry","Red, Orange"
"Capsicum longidentatum",2.75,1.5,4,44.5,35,54,20,15,25,"NA","NA","NA",3.45,3.3,3.6,3.45,3.3,3.6,3.625,3.5,3.75,8.5,7.5,9.5,,"Diploid",12,,"Shrub",,"Simple","white, yellow, green","Berry","Yellow, Green"
"Capsicum mirabile","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Polyploid",13,"Perennial",,"Woody",,,,
"Capsicum parvifolium",2.5,1,4,44,23,65,24.5,7,42,7.5,5,10,"NA","NA","NA","NA","NA","NA",4.3,3.5,5.1,9,8.5,9.5,"SC","Diploid",12,"Perennial","Shrub","Woody","Simple","white, cream, yellow, green, purple","Berry","Green"
"Capsicum pereirae",1.4,0.8,2,120,90,150,22,20,24,6.75,4,9.5,9.5,9,10,5.5,5,6,5,4,6,8.5,7,10,,,,,"Shrub","Woody base",,"white, yellow, green, purple","Berry","Yellow, Green"
"Capsicum pubescens",4,4,4,75,50,100,32.5,25,40,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI, SC","Diploid",12,"Perennial","Herb, Shrub","Woody",,"purple, blue","Berry","Red, Orange, Yellow, Brown"
"Capsicum recurvatum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Polyploid",13,"Perennial",,"Woody",,,,
"Capsicum rhomboideum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Polyploid",13,"Perennial",,"Woody",,,,
"Capsicum schottianum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI, SC","Polyploid",13,"Perennial",,"Woody",,,,
"Capsicum scolnikianum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI, SC","Diploid",12,"Perennial",,"Woody",,,,
"Capsicum sinense",0.61,0.46,0.76,"NA","NA","NA",105,105,105,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",65,10,120,,,,,,,,"yellow, green",,"Red, Orange, Yellow, Brown"
"Capsicum tovarii","NA","NA","NA",58.5,35,82,26.5,15,38,3.225,2.2,4.25,"NA","NA","NA","NA","NA","NA",4.55,1.5,7.6,"NA","NA","NA","SC","Diploid",12,"Perennial",,"Woody, Woody base",,"cream, green, purple","Berry","Red"
"Capsicum villosum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Diploid","12, 13","Perennial",,"Woody",,,,
"Cestrum acuminatissimum",2.25,1.5,3,120,80,160,55,40,70,"NA","NA","NA",29.5,28,31,5.75,4,7.5,22.25,20,24.5,11.5,10,13,,,,,"Shrub",,"Simple","light yellow, yellow, green","Berry","Purple/Violet/Black"
"Cestrum alternifolium",3.5,3,4,81,37,125,30,15,45,"NA","NA","NA",28,24,32,5,4,6,20,18,22,11,10,12,,,,,"Shrub",,"Simple","white, yellow, green, purple","Berry","Purple/Violet/Black"
"Cestrum amistadense",1.2,0.4,2,157.5,90,225,63,26,100,"NA","NA","NA",27,26,28,7.25,6.5,8,25.25,24.5,26,"NA","NA","NA",,,,,"Shrub",,"Simple","light purple",,
"Cestrum aurantiacum",2,1,3,87.5,75,100,56.5,45,68,"NA","NA","NA",22,21,23,5,5,5,18.5,18,19,9.25,8.5,10,"SC","Diploid",8,"Perennial","Shrub, Tree","Woody","Simple","orange, yellow","Berry","White"
"Cestrum bigibbosum",4,2,6,195,130,260,75,50,100,"NA","NA","NA",26,23,29,6.25,4,8.5,18.5,15,22,"NA","NA","NA","SC","Diploid",8,"Perennial","Tree, Shrub","Woody","Simple","white, yellow, green","Berry","Purple/Violet/Black"
"Cestrum buxifolium",3,3,3,25,20,30,8,6,10,"NA","NA","NA",19.5,15,24,3.5,2,5,16.5,13.5,19.5,10.5,9,12,,"Diploid",8,,"Shrub",,"Simple","yellow, green, purple","Berry","Purple/Violet/Black"
"Cestrum capsulare","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",8,,,"Woody",,,,
"Cestrum contrerasianum",4,1,7,74,13,135,24,6,42,"NA","NA","NA",15.25,9,21.5,4.5,3.5,5.5,14.5,11,18,8.5,7,10,,,,,"Shrub",,"Simple","light yellow, yellow, green",,"White"
"Cestrum corymbosum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",8,,,"Woody",,,,
"Cestrum cuneifolium",4.75,2.5,7,90,60,120,30,20,40,"NA","NA","NA",14.5,13,16,3.75,2.5,5,13.5,13,14,7.25,6,8.5,,,,,"Shrub, Tree",,"Simple","yellow, purple","Berry",
"Cestrum darienense",1.75,1,2.5,107.5,55,160,52.5,22,83,"NA","NA","NA",21.25,18.5,24,8,7,9,18.25,17,19.5,"NA","NA","NA",,,,,"Shrub",,"Simple","white",,
"Cestrum diurnum",4,2,6,60,45,75,30,15,45,"NA","NA","NA",13.5,11,16,1.5,1.5,1.5,9.25,8.5,10,11.5,11,12,,"Diploid",8,"Perennial","Shrub, Tree","Woody","Simple","white","Berry","Purple/Violet/Black"
"Cestrum dumetorum",4.5,2,7,105,60,150,35,20,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA",10.75,10,11.5,6.5,5,8,,,,,"Shrub, Tree",,,"light yellow, green","Berry","Purple/Violet/Black"
"Cestrum elegans",2.875,0.75,5,92.5,70,115,40,25,55,"NA","NA","NA","NA","NA","NA","NA","NA","NA",13.5,12,15,10.5,8,13,,"Diploid",8,,"Shrub",,,"pink, red, purple","Berry","White, Red"
"Cestrum endlicheri",1.5,1,2,110,95,125,35,30,40,"NA","NA","NA","NA","NA","NA","NA","NA","NA",20,20,20,"NA","NA","NA",,,,,"Shrub",,,"red",,
"Cestrum fasciculatum",2.375,0.5,3,86.25,40,130,42.5,25,60,10,7.5,12.5,"NA","NA","NA",2.25,2,2.5,"NA","NA","NA",13.75,10,15,"SC","Diploid",8,"Perennial","Shrub","Woody","Simple","red, purple, orange","Berry","Red"
"Cestrum gilliae",1.75,1.5,2,210,135,285,78,32,124,"NA","NA","NA",25,23,27,4.25,4,4.5,23.5,22,25,"NA","NA","NA",,,,,"Herb, Shrub",,"Simple","white, yellow, green, blue, purple",,"Purple/Violet/Black"
"Cestrum glabrescens",2.75,1.5,4,125,90,160,45,30,60,"NA","NA","NA",24.5,22,27,24.5,22,27,17.5,15,20,9.5,8,11,,,,,"Shrub",,"Simple","yellow, green, purple","Berry","Purple/Violet/Black"
"Cestrum glanduliferum",6.5,3,10,160,100,220,57.5,40,75,"NA","NA","NA",11,10,12,3,2,4,11.5,11.5,11.5,8.5,8,9,,,,,"Shrub, Tree",,,"green","Berry",
"Cestrum haberi",3,1,5,152.5,55,250,64.5,19,110,"NA","NA","NA",19.5,15,24,3.5,2.5,4.5,17,14,20,8.75,7.5,10,,,,,"Shrub, Tree",,"Simple","white, cream, pink, light yellow, yellow, green",,"White"
"Cestrum humboldtii",8.5,4,13,180,90,270,77.5,45,110,"NA","NA","NA",17,14,20,3,2,4,12.5,10.5,14.5,5,4,6,,,,,"Shrub, Tree",,"Simple","white, yellow, light purple","Berry","Purple/Violet/Black"
"Cestrum imbricatum",2.5,2,3,65,50,80,22.5,20,25,"NA","NA","NA",13,13,13,2.5,2.5,2.5,13,11,15,"NA","NA","NA",,,,,"Shrub",,"Simple","purple",,
